ID,Strain,Sex,EXP,Weight Days,Weight Scheme,Max Weight Loss,Max Weight Gain,Average Weight Change
3473,CC037,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-39.0625,0,-26.58110119
3870,CC038,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,15.2,8.628571429
3871,CC038,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-4.219409283,24.47257384,2.411091019
3872,CC038,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,27.09359606,16.77222613
3873,CC038,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,13.75,6.458333333
3874,CC038,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-5.494505495,9.340659341,2.747252747
3875,CC038,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,7.941176471,4.075630252
3876,CC038,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,17.96407186,9.837467921
3877,CC038,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-38.00623053,10.28037383,-16.61474559
3878,CC038,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-14.6953405,6.810035842,-3.789042499
3879,CC038,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-24.55621302,8.284023669,-10.35502959
3575,CC040,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-0.446428571,10.71428571,4.017857143
3576,CC040,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-0.37037037,7.037037037,3.756613757
3577,CC040,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,0,13.48314607,7.205279115
3578,CC040,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-2.93040293,11.72161172,4.325832897
3579,CC040,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-8.510638298,7.446808511,1.013171226
3580,CC040,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-1.652892562,6.611570248,3.207398662
3581,CC040,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-3.333333333,5,-0.079365079
3582,CC040,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-7.52688172,8.243727599,2.031063321
3584,CC040,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-29.87804878,9.146341463,-6.649245064
3514,CC041,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-26.19047619,0,-13.40136054
3515,CC041,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-22.80701754,0.584795322,-10.94402673
3516,CC041,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-17.05882353,1.764705882,-8.37535014
3517,CC041,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-20,0.571428571,-7.210884354
3518,CC041,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-27.86885246,0,-8.977361436
3519,CC041,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-24.49799197,0,-13.84585963
3520,CC041,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-30.83333333,21.25,-4.007936508
3521,CC041,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-22.97297297,0.45045045,-13.51351351
3522,CC041,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-22.98387097,0,-10.08064516
3523,CC041,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-26.31578947,4.385964912,-7.01754386
3741,CC042,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-12.43243243,2.162162162,-4.041184041
3742,CC042,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-23.78378378,8.648648649,-9.613899614
3743,CC042,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-24.56140351,12.28070175,-9.022556391
3744,CC042,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-10.3030303,23.63636364,9.523809524
3745,CC042,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-29.44785276,6.748466258,-6.748466258
3524,CC042,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-30.03952569,0.395256917,-10.20256917
3525,CC042,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-25.33936652,2.262443439,-7.735401853
3526,CC042,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-4.198473282,9.923664122,2.798982188
3527,CC042,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-20.59925094,5.243445693,-0.909577314
3528,CC042,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-12.75862069,3.103448276,-4.466338259
3746,CC043 ,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-25.65445026,4.188481675,-5.609573672
3747,CC043 ,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-23.49726776,3.278688525,-5.828779599
3748,CC043 ,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-17.61006289,12.57861635,-8.295896975
3474,CC043 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-25.30120482,7.831325301,-10.87205967
3475,CC043 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-33.33333333,0,-15.77635328
3476,CC043 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-14.75409836,3.825136612,-3.200624512
3477,CC043 ,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-21.75925926,0,-10.14109347
3749,CC043 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-33.9055794,6.43776824,-15.69589209
3750,CC043 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-29.18454936,2.145922747,-17.14694461
3751,CC043 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-26.10837438,11.33004926,-5.794041755
3529,CC044 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-9.722222222,16.66666667,5.026455026
3530,CC044 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-2.068965517,13.10344828,5.714285714
3531,CC044 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,0,11.76470588,7.127295363
3532,CC044 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,0,21.73913043,10.38647343
3533,CC044 ,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-9.554140127,21.01910828,7.946618138
3752,CC044 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-5.882352941,8.823529412,0.02334267
3753,CC044 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-11.16504854,18.44660194,4.969949145
3754,CC044 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-25.99118943,12.7753304,-1.594294105
3755,CC044 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-3.10880829,18.65284974,6.143597335
3756,CC044 ,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,0,13.17073171,5.272938444
3850,CC046,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-25.6916996,2.371541502,-11.82006399
3851,CC046,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-18.18181818,7.575757576,-3.67965368
3852,CC046,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-12.71676301,16.76300578,3.165428021
3853,CC046,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-16.06217617,8.29015544,-2.245250432
3854,CC046,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-13.57466063,6.787330317,-2.046972635
3855,CC046,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-13.19148936,14.04255319,-0.382978723
